# E0ff V4-Flash layer-2 ratio-4 attention+indexer+hash-gate oracle gate — titan064 run log
# date: 2026-07-20T08:12:20Z
# host: titan064 (8x RTX 4090, CUDA 13.2), venv ~/Workspace/venvs/sglang
# workdir: titan064:~/e0f-runtime (rsync of gaiban-lite/runtime/)
# command:
#   export CUDA_HOME=/usr/local/cuda-13.2; PATH=$CUDA_HOME/bin:$PATH; LD_LIBRARY_PATH=$CUDA_HOME/lib64:$LD_LIBRARY_PATH
#   ~/Workspace/venvs/sglang/bin/torchrun --standalone --nproc_per_node=4 \
#     e0ff_ratio4_attention_oracle.py --stage-root ~/Workspace/DeepSeek-V4-Flash --out-dir out-e0ff
# note: frozen seed 20260717 was screened on titan064 (seeds 20260711..20260716 each
#   produced one single-code E2M1 flip in the dual-formulation index-query lattice,
#   swapping one near-tied top-k entry; see EXPECTED_SEED comment in the harness).
#   Metrics were bitwise identical across two consecutive official runs.

== torchrun stdout/stderr ==
W0720 08:12:01.072000 143395 torch/distributed/run.py:851] 
W0720 08:12:01.072000 143395 torch/distributed/run.py:851] *****************************************
W0720 08:12:01.072000 143395 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0720 08:12:01.072000 143395 torch/distributed/run.py:851] *****************************************
EXIT=0

== out-e0ff/README.md ==
# E0ff V4-Flash TP4 layer-2 ratio-4 semantic gate

Status: **PASS**

This is a ratio-4 transition-component semantic diagnostic for the
DeepSeek-V4-Flash geometry (hidden 4096, 64 heads, index_topk 512),
not a latency run.
Attention uses B=1 per rank over positions 8192..8195 from a nonzero
independent QAT-valid state. Hash routing separately uses B=60 per rank
and a selected-six-only FP64 oracle over 240 deterministically scanned
checkpoint token IDs (route_scale 1.5, 256 experts).
Each attention phase is teacher-forced from the independently prepared
BF16-operand control state; that control alone supplies the acceptance gate.
The control has independent state/ratio-4 math but shares the torch CUDA
BF16 GEMM backend with the candidate; it is not an independent GEMM kernel.
A raw-FP32 dequantized-checkpoint lane starts from the same state and is
retained as non-gating attribution, including complete score/route witness.
Raw-FP32 prior limits all passed: `True`; top-k classifications: `{'exact': 16, 'ordering_only': 0, 'set_change': 0}`; minimum overlap: `512/512`.
The nonzero QAT-valid seed is a random algebraic state, not proof that it
is reachable from an actual 8192-token prompt history.

No autonomous rollout, prompt, full-sequence, full-layer, pipeline, cluster
end-to-end, performance, or checkpoint-native FP8 GEMM claim is made.

Checkpoint: `b3d44d9f14e59b1be0f108fd91e4a9a171650795e03a48dc8c47957cf40d22d9`
Implementation: `8227ef4c36d80fb66316fcaca7702af29b3ec37c65a712f10f7a6099224fa5f7`

== summary metrics (out-e0ff/summary.json) ==
accepted: True
checkpoint: b3d44d9f14e59b1be0f108fd91e4a9a171650795e03a48dc8c47957cf40d22d9
block_contract: 5fe789349693e7ee6deb0df363a4a41397266005c4b29287b1cad6330b3e946a
implementation: 8227ef4c36d80fb66316fcaca7702af29b3ec37c65a712f10f7a6099224fa5f7

== control stage metrics (rms_rel_max / limit, all-rank max) ==
   phase0.branch: rms_rel_max=9.148662e-04 row_rms_rel_max=9.148662e-04 limit=0.01 row_limit=0.024 accepted=True
   phase0.index_adjusted_score: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.index_projected_kv: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.index_projected_score: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.index_query: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase0.index_scores: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase0.index_weights: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase0.inverse_rotated: rms_rel_max=4.839637e-05 row_rms_rel_max=7.051469e-04 limit=0.008 row_limit=0.02 accepted=True
   phase0.main_adjusted_score: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.main_projected_kv: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.main_projected_score: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.output_lora: rms_rel_max=3.346136e-04 row_rms_rel_max=1.020839e-03 limit=0.01 row_limit=0.024 accepted=True
   phase0.query: rms_rel_max=4.331273e-05 row_rms_rel_max=3.465387e-04 limit=0.005 row_limit=0.02 accepted=True
   phase0.query_lora: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase0.raw_latent: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase0.selected_kv: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase0.sparse_control: rms_rel_max=4.827539e-05 row_rms_rel_max=5.741993e-04 limit=0.003 row_limit=0.012 accepted=True
   phase0.sparse_output: rms_rel_max=4.839497e-05 row_rms_rel_max=7.051154e-04 limit=0.008 row_limit=0.02 accepted=True
   phase0.state.compressed: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase0.state.index_kv: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.state.index_score: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.state.indexer_kv: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase0.state.main_kv: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.state.main_score: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase0.state.raw: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase1.branch: rms_rel_max=7.311680e-04 row_rms_rel_max=7.311680e-04 limit=0.01 row_limit=0.024 accepted=True
   phase1.index_adjusted_score: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase1.index_projected_kv: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase1.index_projected_score: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=2e-05 row_limit=8e-05 accepted=True
   phase1.index_query: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase1.index_scores: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
   phase1.index_weights: rms_rel_max=0.000000e+00 row_rms_rel_max=0.000000e+00 limit=0.003 row_limit=0.012 accepted=True
